,v_x,v_y,r,omega_wheels,friction,delta,Iq,ax_imu,ay_imu,r_imu,run_id
0.89,1.4560980321147252,-0.26405227516409696,-1.8737930305538513,1.4580341936573373,0.6,-0.5309991063424938,0.0,-2.6772678731001465,-3.28159762886406,-1.7797215729524467,0
0.9,1.4368689893206552,-0.2558069257103886,-1.859248730919308,1.4406122172637057,0.6,-0.5309992262549184,0.0,-1.5649452565634203,-3.881754071799322,-1.8925101239765045,0
0.91,1.4289644518490356,-0.2585264944870861,-1.857283416488115,1.4268669679672892,0.6,-0.5309993294865246,0.0,-0.9155737216876658,-2.4008020935296694,-1.9157360094173952,0
0.92,1.4146917213922272,-0.2587320338085391,-1.849473788748302,1.4124567068583038,0.6,-0.5309994183577534,-0.005768403715111501,-1.0896380319019656,-1.7239490138757563,-1.8617298433253093,0
0.93,1.3936350098531538,-0.25205276292485757,-1.8282599671878685,1.382625501761647,0.6,-0.5309994948662531,0.5684534589153551,-3.2363193619100126,-5.844233479981458,-1.8965338668129559,0
0.9400000000000001,1.3740954540398713,-0.24854767326021238,-1.8062341244983293,1.3795083419544414,0.6,-0.5309995607317822,3.384341893934776,-2.6316420396967435,-5.895013148873898,-1.9764383731310302,0
0.9500000000000001,1.3555416534131022,-0.24532075314890758,-1.7764396544798609,1.3882277735021185,0.6,-0.530999617434867,7.397501369130732,-0.2949180824474451,-3.18685705028209,-2.0234555819365974,0
0.96,1.3422464188957737,-0.23954615028055448,-1.7485841266529918,1.393718793217936,0.6,-0.5309996662500797,11.470713543302095,-2.014939583799683,-2.552351770171251,-1.8690535265658232,0
0.97,1.328577808532232,-0.23955769794358345,-1.721463628331382,1.3859574832287584,0.6,-0.5309997082746891,12.062009483835869,-2.203074296061719,0.3695003483243767,-1.7902459256412502,0
0.98,1.3214235353118156,-0.2341848215343649,-1.7042986511902463,1.3840956243527227,0.6,-0.5309997444533249,19.448851847277226,-2.939295036952671,-4.135349311985528,-1.6169694803535892,0
0.99,1.3149224012290173,-0.2357855734601825,-1.6889805097452752,1.38930307349714,0.6,-0.5309997755992106,24.37355496443787,-1.4608254142865313,0.5067958501965059,-1.5877711799594076,0
1.0,1.303239945835395,-0.23792733216469972,-1.669150972076717,1.3858655183923607,0.6,-0.5309998024124439,26.277384746453716,-0.7154108314112037,-1.8588254453928161,-1.517395456785677,0
1.01,1.303025202517468,-0.24413542436993452,-1.6647845954196627,1.394571991667894,0.6,-0.5309998254957328,26.00000448727279,-0.6564900785241152,0.35322660431448494,-1.5047068722287917,0
1.02,1.2995850399575004,-0.24647302249276323,-1.6591582691684694,1.4097755070560554,0.6,-0.5309998453679439,28.415777707866255,-2.122778158991458,-3.3902942432468874,-1.5930920233895614,0
1.03,1.2914822853536185,-0.24746276637511103,-1.6542618183372912,1.4466984835183911,0.6,-0.5309998624757645,35.299084955239515,-1.0174025352050777,-2.5221358739944018,-1.5360212231476271,0
1.04,1.2958498303234132,-0.2486227747637317,-1.6655627780964466,1.4584822914570177,0.6,-0.5309998772037446,37.39934344689916,-1.8994491653030192,-1.9555895872486033,-1.6712905260415039,0
1.05,1.2983260746686536,-0.25245594033950824,-1.6690555285777509,1.4885935600049054,0.6,-0.5309998898829399,35.12715623797895,1.4761378568307815,-1.7800404540318,-1.7607967960467816,0
1.06,1.315964013301081,-0.25486949030195316,-1.6921487902678118,1.5135842918610862,0.6,-0.5309999007983531,34.23231353622851,-0.5957997111519824,-5.181033843375342,-1.7090568043864967,0
1.07,1.3299334470949626,-0.2603220120787671,-1.7090441382277617,1.5714834640927835,0.6,-0.5309999101953417,36.55952331558233,1.2377715666675473,-1.2745435600298758,-1.713193537488949,0
1.08,1.341347918016358,-0.2594216752270008,-1.7215146499788232,1.5933521135295663,0.6,-0.5309999182851305,35.435798645957505,1.781753575828732,-4.007540698005777,-1.583739087214269,0
1.09,1.348518292833286,-0.2613535666731658,-1.7189929136491755,1.6086988526390817,0.6,-0.5309999252495623,32.693768543333576,0.6692300541788672,-5.892108143384209,-1.7437163388852888,0
1.1,1.3659561744658955,-0.2642421997300226,-1.7262915195782624,1.6200576274559961,0.6,-0.5309999312451835,27.15374051043607,1.663101936167925,-2.668940699777555,-1.4671676021251512,0
1.11,1.3934584150105216,-0.2654396890155522,-1.7478761667433833,1.6297322199993025,0.6,-0.5309999364067639,23.701291810252886,4.008090131934468,1.4386040549398587,-1.6798416579334972,0
1.12,1.4202821188277266,-0.2730424336498081,-1.7676081387076834,1.638505147340289,0.6,-0.5309999408503253,21.738829170464747,4.212736309126221,-4.063821249020701,-1.7912544676810893,0
1.1300000000000001,1.4433293919216996,-0.27115733859942054,-1.785857923038435,1.6497810020033608,0.6,-0.5309999446757504,20.28592532360972,1.4109930745420258,-6.521822606690775,-1.9193813386751262,0
1.1400000000000001,1.466473569858595,-0.2746779250654825,-1.8098015486154662,1.677207259094722,0.6,-0.5309999479690269,18.39109994324059,2.094240954729831,0.1016620650436626,-1.5673921951861371,0
1.1500000000000001,1.4918428030334885,-0.27814947101563714,-1.842032638546963,1.695612607991959,0.6,-0.5309999508041813,18.09222725842085,6.125706371207187,-2.043253461855858,-1.3732549952549333,0
1.16,1.528641032647202,-0.28861273187909875,-1.8957447345314984,1.7042905777195472,0.6,-0.5291751109952818,22.005908147242447,2.595312996199538,-3.036651293394196,-3.0179153768704308,0
1.17,1.5593367260036326,-0.2880026519056951,-1.940554383551306,1.7036272138949022,0.6,-0.5226048157649427,22.228593056181243,4.76486381439418,-5.748147123151406,-2.106428649252355,0
1.18,1.5814687525098325,-0.2825067418528675,-1.9768403233059892,1.7117080548623254,0.6,-0.508872631137341,20.14926507024872,1.247014468216326,-4.509905224561679,-1.3408696293840232,0
1.19,1.6087402278151324,-0.2918424908923133,-2.0205662521918604,1.7132461742214233,0.6,-0.4793935138203287,18.79918417819774,1.7187430384403952,-6.994914643050891,-2.3507769812701103,0
1.2,1.628256737822457,-0.2969757294434424,-2.0552000188285993,1.7239148317008535,0.6,-0.426849394711898,18.572694593317557,0.9078110395160509,-0.427838931458479,-2.118060991652683,0
